ref_area.label;source.label;indicator.label;sex.label;classif1.label;time;obs_value_worked_hours;obs_status.label;note_classif.label;note_indicator.label;note_source.label
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 1-14;2021;614.624;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 15-29;2021;1727.655;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 30-34;2021;826.51;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 35-39;2021;1108.582;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 40-48;2021;2765.856;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 49+;2021;3412.464;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: Not elsewhere classified;2021;255.444;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: Total;2021;5456.298;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: No hours actually worked;2021;163.548;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 1-14;2021;278.44;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 15-29;2021;809.079;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 30-34;2021;365.56;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 35-39;2021;504.462;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 40-48;2021;1354.968;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 49+;2021;1864.949;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: Not elsewhere classified;2021;115.292;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: Total;2021;5671.518;;;;Repository: ILO-STATISTICS - Micro data processing
