ref_area.label;source.label;indicator.label;sex.label;classif1.label;time;obs_value_informal;obs_status.label;note_classif.label;note_indicator.label;note_source.label
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Aggregate): Manufacturing;2022;82.69;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Aggregate): Construction;2022;88.008;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply";2022;69.139;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2022;82.396;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2022;68.562;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Aggregate): Not classified;2022;100;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Aggregate): Total;2022;95.438;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Aggregate): Agriculture;2022;99.889;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Aggregate): Manufacturing;2022;92.707;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Aggregate): Construction;2022;73.789;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply";2022;85.999;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services;2022;90.964;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities;2022;84.76;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Aggregate): Not classified;2022;100;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Agriculture, Non-Agriculture): Total;2021;90.271;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Agriculture, Non-Agriculture): Agriculture;2021;99.835;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Agriculture, Non-Agriculture): Non-agriculture;2021;78.215;;;;Repository: ILO-STATISTICS - Micro data processing
