ref_area.label;source.label;indicator.label;sex.label;time;obs_value_NEET;obs_status.label;note_indicator.label;note_source.label
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2021;10.343;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2020;11.419;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2020;14.206;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2020;8.504;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2019;11.008;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2019;12.723;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2019;9.221;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2018;10.422;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2018;12.013;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2018;8.752;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2017;10.454;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2017;13.188;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2017;7.541;;;Repository: ILO-STATISTICS - Micro data processing
Austria;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2016;10.914;;;Repository: ILO-STATISTICS - Micro data processing
